"","Mice","Number","Mouse_ID","Strain","sex","DOB","parents","Western_Diet","Sac_Date","weight_g","length_cm","ab_fat","other_fat","total_fat","comments","100xfat_weight","Trigly","Total_Chol","HDL_Chol","UC","FFA","Glucose","LDL_plus_VLDL","MCP_1_phys","Insulin_ug_l","Glucose_Insulin","Leptin_pg_ml","Adiponectin","Aortic lesions","Note","Aneurysm","Aortic_cal_M","Aortic_cal_L","CoronaryArtery_Cal","Myocardial_cal","BMD_all_limbs","BMD_femurs_only"
"1","F2_290",290,"306-4","BxH ApoE-/-, F2",2,2002-03-22,229232,2002-05-14,2002-09-11,36.9,9.9,2.53,2.26,4.79,NA,12.9810298102981,53,1167,50,484,121,437,1117,175.85,924,0.472943722943723,245462,11.274,"496250",NA,16,0,17,0,0,NA,NA
"2","F2_291",291,"307-1","BxH ApoE-/-, F2",2,2002-03-22,232,2002-05-14,2002-09-11,48.5,10.7,2.9,2.97,5.87,NA,12.1030927835052,61,1230,32,592,173,572,1198,92.43,5781,0.0989448192354264,84420.88,7.099,NA,NA,16,4,0,2,4,0.0548,0.0773
"3","F2_292",292,"307-2","BxH ApoE-/-, F2",1,2002-03-22,232,2002-05-14,2002-09-11,45.7,10.4,1.04,2.31,3.35,NA,7.33041575492341,41,1285,81,460,96,497,1204,196.398,2074,0.239633558341369,105889.76,5.795,"218500",NA,0,0,11,0,0,0.0554,0.08065
"4","F2_293",293,"307-3","BxH ApoE-/-, F2",1,2002-03-22,232,2002-05-14,2002-09-11,50.3,10.9,0.91,1.89,2.8,NA,5.56660039761431,271,1299,64,476,122,553,1235,97.466,11874,0.0465723429341418,100398.68,5.495,"61250",NA,0,0,0,0,236,0.0597,0.0868
"5","F2_294",294,"307-4","BxH ApoE-/-, F2",1,2002-03-22,232,2002-05-14,2002-09-11,44.8,9.8,1.22,2.47,3.69,NA,8.23660714285714,114,1410,50,516,118,535,1360,95.452,9181,0.058272519333406,130846.3,6.868,"243750",NA,12,10,0,0,0,NA,NA
"6","F2_295",295,"308-1","BxH ApoE-/-, F2",1,2002-03-22,232,2002-05-14,2002-09-11,39.2,10.2,3.06,2.49,5.55,NA,14.1581632653061,72,1533,18,620,106,382,1515,144.27,485,0.78762886597938,75166.22,17.328,"104250",NA,17,2,0,0,0,0.0557,0.077
"7","F2_296",296,"308-2","BxH ApoE-/-, F2",2,2002-03-22,232,2002-05-14,2002-09-11,38.8,10.2,3.28,1.64,4.92,NA,12.680412371134,120,1386,29,539,131,569,1357,109.494,978,0.581799591002045,68410.52,8.71,"133250",NA,0,0,7,0,0,0.0621,0.09105
"8","F2_297",297,"308-3","BxH ApoE-/-, F2",2,2002-03-22,232,2002-05-14,2002-09-11,31.2,10.1,1.83,1.5,3.33,NA,10.6730769230769,15,699,10,297,80,376,689,161.976,831,0.452466907340554,44714.22,27.404,"313500",NA,0,0,0,0,0,NA,NA
"9","F2_298",298,"308-4","BxH ApoE-/-, F2",2,2002-03-22,232,2002-05-14,2002-09-11,33.4,10,2.19,1.81,4,NA,11.9760479041916,65,1334,19,504,110,568,1315,87.668,560,1.01428571428571,74253.66,14.237,"301500",NA,6,0,0,0,0,NA,NA
"10","F2_299",299,"338-1","BxH ApoE-/-, F2",2,2002-03-22,109,2002-05-14,2002-09-11,40,9.9,3.41,2.68,6.09,NA,15.225,83,1114,33,459,131,464,1081,129.976,1151,0.403127715030408,114169.02,7.592,"57500",NA,0,0,0,6,0,0.0575,0.08275
"11","F2_300",300,"338-2","BxH ApoE-/-, F2",2,2002-03-22,109,2002-05-14,2002-09-11,41.1,9.8,4.01,3.29,7.3,NA,17.7615571776156,80,1414,27,620,157,599,1387,121.318,2823,0.212185618136734,200970.8,14.366,"62750",NA,3,3,0,0,78,0.0523,0.0746
"12","F2_301",301,"338-3","BxH ApoE-/-, F2",2,2002-03-22,109,2002-05-14,2002-09-11,33.8,9.9,1.94,1.93,3.87,NA,11.4497041420118,21,1019,33,420,111,398,986,105.064,1084,0.367158671586716,125887.52,27.99,"265750",NA,0,0,0,0,0,0.0532,0.07895
"13","F2_302",302,"338-4","BxH ApoE-/-, F2",2,2002-03-22,109,2002-05-14,2002-09-11,44,10.5,3.6,2.05,5.65,NA,12.8409090909091,121,1468,33,739,191,655,1435,117.122,4506,0.145361739902352,162679.62,8.404,"126750",NA,22,10,4,1,52,0.0588,0.08605
"14","F2_303",303,"373-1","BxH ApoE-/-, F2",2,2002-04-11,NA,2002-07-24,2002-09-11,41.9,10.1,3.5,2.37,5.87,NA,14.0095465393795,91,1444,25,534,130,477,1419,NA,1596,0.298872180451128,383322.2,12.048,"154500",NA,39,3,0,0,0,NA,NA
"15","F2_304",304,"373-2","BxH ApoE-/-, F2",2,2002-04-11,NA,2002-07-24,2002-09-11,37.6,10.1,3.36,1.87,5.23,NA,13.9095744680851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"352750",NA,6,1,2,0,0,0.0553,0.0784
"16","F2_305",305,"373-3","BxH ApoE-/-, F2",2,2002-04-11,NA,2002-07-24,2002-09-11,34.1,10.1,2.52,1.58,4.1,NA,12.0234604105572,91,1475,24,589,134,503,1451,NA,1094,0.459780621572212,124436.08,10.319,"190250",NA,16,0,0,0,0,NA,NA
"17","F2_306",306,"374-1","BxH ApoE-/-, F2",2,2002-04-11,NA,2002-07-24,2002-09-11,42.9,10.2,3.86,2.35,6.21,NA,14.4755244755245,48,1632,33,577,100,484,1599,144.128,3533,0.136994056043023,270467.6,14.718,"166750",NA,6,0,4,0,0,NA,NA
"18","F2_307",307,"374-2","BxH ApoE-/-, F2",2,2002-04-11,NA,2002-07-24,2002-09-11,35.3,9.8,2.48,2.03,4.51,NA,12.7762039660057,0,1277,23,566,131,488,1254,144.904,421,1.15914489311164,101448.8,22.469,"275500",NA,NA,NA,NA,0,1,NA,NA
"19","F2_308",308,"374-3","BxH ApoE-/-, F2",1,2002-04-14,NA,2002-07-24,2002-09-11,40.5,10,3.27,2.32,5.59,NA,13.8024691358025,7,1284,28,582,142,575,1256,87.378,3130,0.18370607028754,285963,17.142,"192750",NA,27,6,3,0,0,0.0502,0.0721
"20","F2_309",309,"327-1","BxH ApoE-/-, F2",2,2002-04-11,230,2002-07-24,2002-11-13,40.7,10.9,3.13,2.16,5.29,NA,12.997542997543,30,1657,28,506,77,417,1629,125.294,821,0.507917174177832,159643.64,14.343,"318000",NA,20,0,0,0,0,0.0573,0.07945
"21","F2_310",310,"327-2","BxH ApoE-/-, F2",2,2002-04-11,230,2002-07-24,2002-11-13,39.5,10.6,2.47,2.07,4.54,NA,11.493670886076,24,1287,32,457,103,418,1255,140.806,1082,0.386321626617375,194313.18,24.737,"268000",NA,22,0,0,0,0,0.056,0.0813
"22","F2_311",311,"327-3","BxH ApoE-/-, F2",2,2002-04-11,230,2002-07-24,2002-11-13,33.6,9.9,2.4,1.77,4.17,NA,12.4107142857143,63,1183,25,406,100,369,1158,102.128,1206,0.305970149253731,108510.66,16.383,"183000",NA,0,0,0,0,0,0.0565,0.07995
"23","F2_312",312,"327-4","BxH ApoE-/-, F2",2,2002-04-11,230,2002-07-24,2002-11-13,39.4,10.1,2.7,2.75,5.45,NA,13.8324873096447,112,1442,53,553,144,522,1389,127.282,1073,0.486486486486487,226996.2,12.425,"411250",NA,0,0,13,0,0,0.0551,0.076
"24","F2_313",313,"341-1","BxH ApoE-/-, F2",1,2002-04-16,228,2002-07-24,2002-11-13,46.2,10.4,1.76,2.35,4.11,NA,8.8961038961039,5,1863,54,658,146,460,1809,157.396,3520,0.130681818181818,199609.68,9.63,"241000",NA,28,6,0,0,0,0.0548,0.0795
"25","F2_314",314,"341-2","BxH ApoE-/-, F2",1,2002-04-16,228,2002-07-24,2002-11-13,52.3,10.7,1.45,2.65,4.1,NA,7.83938814531549,119,1334,34,466,117,396,1300,NA,5208,0.076036866359447,86420.94,8.001,"155000",NA,21,8,0,0,0,0.0549,0.07715
